title,company,location,description,posted_at,source,source_url,scraped_at
Software Developer,GriyaBayar,Surabaya,Skill Requirement :1.     (mandatory) Proficient in NodeJS (Javascript as Back-end / Data processor)2.     (mandatory) Intermediate or proficient in...,2021-12-12T17:00:00Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-developer-3715185,2026-07-19T00:00:00Z
Data Analyst,,Jakarta Pusat,"Tugas Tanggungjawab : Bertanggung jawab dalam menganalisa dan membuat laporan sales, distributor, sales forecast, budget marketing, produktivitas...",2021-12-12T15:59:09Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-analyst-3718598,2026-07-19T00:00:00Z
EdTech Business Analyst,TKI,Jakarta Raya,"The KPI Institute is a leading global research institute specialized in business performance. It operates research programs in 12 practice domains,...",2021-12-12T15:47:46Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/edtech-business-analyst-1029664465,2026-07-19T00:00:00Z
Junior Software Engineer - Data,Xendit,Jakarta Raya,"Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...",2021-12-12T15:47:20Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/junior-software-engineer-data-1029690231,2026-07-19T00:00:00Z
Software Engineer - Platform Service,Xendit,Jakarta Raya,"Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...",2021-12-12T15:44:42Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-platform-service-1029875456,2026-07-19T00:00:00Z
Software Engineer - Forex,Xendit,Jakarta Raya,"Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...",2021-12-12T15:40:10Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-forex-1029783281,2026-07-19T00:00:00Z
Senior Software Engineer - Forex,Xendit,Jakarta Raya,"Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...",2021-12-12T15:40:05Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/senior-software-engineer-forex-1029783258,2026-07-19T00:00:00Z
Data Scientist Manager,Friesland Campina,Jakarta Timur,This position has objectives to improve and bring new business insight/answer by utilizing Data Science capability in order to answer business...,2021-12-12T15:35:06Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-scientist-manager-1029632240,2026-07-19T00:00:00Z
Full Stack Engineer (1 years exp.),Kitameraki Limited,Jakarta Selatan,Kitameraki LimitedKitameraki is a  Technology &amp; Operations consulting firm for companies across Southeast Asia.We are Passionate Consultants &amp;...,2021-12-12T15:32:33Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/full-stack-engineer-1-years-exp-1029860758,2026-07-19T00:00:00Z
Software Engineer – iOS,Quipper,Jakarta Raya,Appeal of the work Become a distributor of Wisdom Be involved and contribute to the future of Global Education! Be part of the team that wants to...,2021-12-12T15:32:00Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-ios-1029783216,2026-07-19T00:00:00Z
